file_upload,band_label,y1,y2,pixels_in_band,g_top,g_top_count,g_top_pct
64a5f0ea-duckdb-org.png,['Header'],1105,1588,695520,250,524453,0.7540444559466298
64a5f0ea-duckdb-org.png,['Main'],1588,3325,2501280,250,1621544,0.6482856777330007
64a5f0ea-duckdb-org.png,['Supplement'],3323,3663,489600,250,442134,0.9030514705882353
64a5f0ea-duckdb-org.png,['Footer'],3663,3730,96480,250,91920,0.9527363184079602
52928ebd-grafana-com.png,['Nav'],0,44,63360,0,34837,0.5498263888888889
52928ebd-grafana-com.png,['Header'],45,863,1177920,11,403290,0.3423746943765281
52928ebd-grafana-com.png,['Main'],863,5692,6953760,244,1396187,0.2007815915418421
52928ebd-grafana-com.png,['Supplement'],5695,6553,1235520,0,864838,0.6999789562289562
52928ebd-grafana-com.png,['Footer'],6553,6690,197280,0,183351,0.9293947688564477
006b0d73-insomnia-rest.png,['Nav'],0,64,92160,255,59878,0.6497178819444445
006b0d73-insomnia-rest.png,['Header'],64,760,1002240,255,683200,0.6816730523627076
006b0d73-insomnia-rest.png,['Main'],760,4334,5146560,255,1691580,0.32868168252191754
006b0d73-insomnia-rest.png,['Supplement'],4334,4740,584640,1,485137,0.8298046661193212
006b0d73-insomnia-rest.png,['Footer'],4740,4833,133920,1,130800,0.9767025089605734
92e21fbb-k6-io.png,['Nav'],0,97,139680,255,115796,0.8290091638029783
92e21fbb-k6-io.png,['Header'],95,1028,1343520,255,1138589,0.8474671013457187
92e21fbb-k6-io.png,['Main'],1028,6693,8157600,255,6828651,0.8370906884377758
92e21fbb-k6-io.png,['Supplement'],6693,6918,324000,248,238821,0.7371018518518518
92e21fbb-k6-io.png,['Footer'],6918,7084,239040,248,140250,0.5867218875502008
1c7b9e5c-prometheus-io.png,['Nav'],0,77,110880,255,78726,0.7100108225108225
1c7b9e5c-prometheus-io.png,['Header'],77,650,825120,255,603044,0.7308561178980028
1c7b9e5c-prometheus-io.png,['Main'],648,2474,2629440,255,1616797,0.6148826366070342
1c7b9e5c-prometheus-io.png,['Footer'],2474,2608,192960,249,127996,0.6633291873963516
4c25279e-snyk-io.png,['Nav'],0,85,122400,255,80782,0.659983660130719
4c25279e-snyk-io.png,['Header'],85,1464,1985760,3,436138,0.21963278543227782
4c25279e-snyk-io.png,['Main'],1464,13223,16932960,3,10932998,0.6456637232946868
4c25279e-snyk-io.png,['Supplement'],13223,13701,688320,3,429827,0.6244581008833101
4c25279e-snyk-io.png,['Footer'],13701,13789,126720,3,46160,0.36426767676767674
9eaea61f-superset-apache-org.png,['Banner'],0,26,37440,255,32812,0.8763888888888889
9eaea61f-superset-apache-org.png,['Nav'],26,86,86400,255,49928,0.5778703703703704
9eaea61f-superset-apache-org.png,['Header'],86,1024,1350720,255,1176227,0.8708148246860934
9eaea61f-superset-apache-org.png,['Main'],1024,4112,4446720,255,2933413,0.6596801687535981
9eaea61f-superset-apache-org.png,['Supplement'],4114,4186,103680,62,100383,0.9682002314814815
9eaea61f-superset-apache-org.png,['Footer'],4186,4472,411840,48,270006,0.6556089743589744
13f81c60-www-ansible-com.png,['Nav'],0,84,120960,112,68138,0.5633101851851852
13f81c60-www-ansible-com.png,['Header'],83,456,537120,142,307975,0.5733821120047662
13f81c60-www-ansible-com.png,['Main'],458,3894,4947840,255,1930027,0.3900746588410296
13f81c60-www-ansible-com.png,['Footer'],3897,4019,175680,56,136885,0.7791723588342441
5bdaf5ce-www-hashicorp-com.png,['Nav'],0,64,92160,255,46054,0.49971788194444444
5bdaf5ce-www-hashicorp-com.png,['Header'],64,855,1139040,14,303645,0.2665797513695744
5bdaf5ce-www-hashicorp-com.png,['Main'],855,7120,9021600,14,5843100,0.6476789039638202
5bdaf5ce-www-hashicorp-com.png,['Supplement'],7120,7698,832320,14,693437,0.8331374951941561
5bdaf5ce-www-hashicorp-com.png,['Footer'],7696,7801,151200,14,138216,0.9141269841269841
19d8ec73-www-jenkins-io.png,['Nav'],0,59,84960,37,72830,0.8572269303201506
19d8ec73-www-jenkins-io.png,['Header'],56,465,588960,249,392838,0.6670028524857375
19d8ec73-www-jenkins-io.png,['Main'],467,4321,5549760,255,2313787,0.4169165873839589
